TradeDate,TickerSymbol,ReturnLog,LastPrice,NtlFinVol,RglrTxsQty
2025-10-28,BGIF26      , 1.64072400, 00331.1500,000000001093306.5000,000000010
2025-10-28,BGIG26      , 1.60778240, 00331.9500,000000000109543.5000,000000001
2025-10-28,BGIV25      , 3.19298187, 00314.5000,000000002282824.5000,000000014
2025-10-28,BGIX25      ,-0.46593092, 00326.0000,000000004951435.5000,000000035
2025-10-28,BGIZ25      , 1.80117773, 00330.7000,000000003928617.0000,000000023
2025-10-28,CCMF26      , 1.10989590, 00071.3000,000000000385006.5000,000000012
2025-10-28,CCMH26      , 2.14549927, 00072.9000,000000000032805.0000,000000001
2025-10-28,CCMU26      , 4.43255744, 00069.0000,000000001614600.0000,000000005
2025-10-28,CCMX25      , 2.65330089, 00067.8800,000000000977562.0000,000000023
2025-10-28,ETHM26      , 1.64343921, 02420.0000,000000003630000.0000,000000001
2025-10-28,ETHN26      , 2.09499996, 02420.0000,000000003630000.0000,000000001
2025-10-28,ETHQ26      , 5.76205964, 02420.0000,000000003630000.0000,000000001
2025-10-28,ETHV25      , 4.06095008, 02880.0000,000000000864000.0000,000000002
2025-10-28,ICFH26      , 1.26835828, 00450.1000,000000000483335.3800,000000002
2025-10-28,ICFZ25      , 2.46834755, 00467.7500,000000001254835.7300,000000005
2025-10-28,XRXB34      , 0.79489350, 00019.6400,000000000000019.6400,000000001
2025-10-28,HGBL11      ,-0.12955524, 00008.8200,000000000058735.4000,000000085
2025-10-28,AFHF11      , 0.48949585, 00010.0500,000000000000649.3400,000000011
2025-10-28,XPSF11      ,-2.06930974, 00006.2000,000000000297078.0400,000002867
2025-10-28,RBFF11      , 1.89779910, 00049.1000,000000000127104.8200,000000362
2025-10-28,DAMA11      ,-2.59145531, 00007.3600,000000000075359.7900,000001494
2025-10-28,RCRI11      , 0.53967956, 00098.3300,000000000147611.5400,000000260
2025-10-28,AMGN34      ,-0.31164438, 00055.4600,000000000011343.1300,000000003
2025-10-28,TSLA34      , 0.06133934, 00076.9800,000000143760502.2700,000004817
2025-10-28,RBIF11      , 1.22295046, 00072.7000,000000000110152.9100,000000180
2025-10-28,OFSA3       , 1.43517627, 00021.8000,000000000039063.0000,000000012
2025-10-28,SYNE3       ,-3.12877604, 00005.0000,000000003958919.0000,000002304
2025-10-28,NDIV11      , 0.76351355, 00115.5300,000000000316535.9800,000000811
2025-10-28,BIEI39      ,-3.43626984, 00053.6400,000000000049383.4000,000000313
2025-10-28,IBMB34      , 4.74056596, 01693.4400,000000000054138.9700,000000011
2025-10-28,MANA11      , 3.15475826, 00008.9100,000000001297443.6700,000008875
2025-10-28,FNAM11      ,-3.43313794, 00000.3800,000000000004489.5800,000000042
2025-10-28,BDAP11      ,-1.90411079, 00011.7600,000000000003526.0100,000000100
2025-10-28,MDLZ34      , 0.52737201, 00162.5000,000000000001957.5600,000000002
2025-10-28,OCRE11      , 2.44705046, 00095.9000,000000000013138.3000,000000003
2025-10-28,BHYG39      , 2.27354493, 00054.3000,000000000017480.1200,000000081
2025-10-28,CAML3       ,-0.83039458, 00005.5400,000000003313035.0000,000001653
2025-10-28,XFIX11      , 0.22639430, 00012.7100,000000000113030.9500,000000151
2025-10-28,DAPQ26      ,-2.24601997, 00010.1100,000000312256651.4400,000000042
2025-10-28,CASA11      , 2.91469233, 00094.0600,000000000204758.9800,000000607
2025-10-28,PTNT4       , 0.06775499, 00005.1900,000000000020741.0000,000000011
2025-10-28,FRCZ26      ,-2.75455151, 00004.8600,000000331384928.5400,000000012
2025-10-28,BTAL11      , 6.64781806, 00077.1100,000000000473115.4200,000000744
2025-10-28,FSRF11      ,-5.80647276, 00000.0900,000000000001530.0000,000000001
2025-10-28,UPSS34      , 0.27170140, 00032.2800,000000001944742.7700,000000084
2025-10-28,SJCN26      ,-0.81272072, 00024.8000,000000005927618.2300,000000005
2025-10-28,BSHY39      ,-0.82219542, 00055.6100,000000000484439.9100,000000962
2025-10-28,HGRU11      , 2.70568333, 00126.6000,000000006209445.2700,000005142
2025-10-28,KCRE11      , 1.23231235, 00008.4700,000000000719806.3500,000002144
2025-10-28,OSXB3       ,-5.37216244, 00002.5000,000000000002503.0000,000000005
2025-10-28,ASRF11      , 1.50609831, 10912.0300,000000000010912.0300,000000001
2025-10-28,ETHN26      , 0.00000000, 02420.0000,000000003630000.0000,000000001
2025-10-28,BKCH39      , 2.18468994, 00297.3000,000000000015581.3000,000000004
2025-10-28,PFIZ34      ,-0.90102513, 00032.7400,000000001445300.6200,000000149
2025-10-28,PCIP11      , 0.97908296, 00080.1000,000000001817645.3900,000003762
2025-10-28,SOLH11      ,-0.66037459, 00029.0000,000000001418262.5400,000000725
2025-10-28,BEWJ39      , 3.01060310, 00056.2300,000000000006968.3600,000000004
2025-10-28,JALL3       ,-1.24369382, 00002.6900,000000001908731.0000,000001354
2025-10-28,BTCI11      ,-1.74039087, 00009.3200,000000001242961.7900,000005945
2025-10-28,BCSA34      , 0.24589003, 00053.5800,000000000041880.4300,000000029
2025-10-28,BTHI11      ,-0.89904354, 00041.9900,000000000001721.0100,000000013
2025-10-28,BITI11      , 0.49574528, 00165.1900,000000002189465.9800,000000104
2025-10-28,GLDX11      , 0.07672025, 00099.6600,000000000297710.4300,000001676
2025-10-28,RZTR11      ,-0.36044142, 00092.7500,000000002602097.4700,000005283
2025-10-28,RZZR11      , 2.80172505, 00134.4200,000000000006667.8600,000000006
2025-10-28,OIAG11      , 0.66078965, 00008.2100,000000000134403.6500,000000551
2025-10-28,MATD3       , 0.32052443, 00004.2300,000000000283834.0000,000000414
2025-10-28,TORD11      ,-0.44602563, 00003.0600,000000000006945.9700,000000103
2025-10-28,FRCJ27      ,-1.49217666, 00004.7900,000000057859421.0000,000000006
2025-10-28,CNIC34      ,-1.72364387, 00021.1600,000000000000021.1600,000000001
2025-10-28,MSFT34      , 1.42333563, 00121.0000,000000033392638.0400,000008538
2025-10-28,COCE5       , 0.79907961, 00029.1500,000000000090495.0000,000000008
2025-10-28,CMDB11      , 0.81886226, 00013.2900,000000000015601.0200,000000014
2025-10-28,AGXY3       ,-4.47188634, 00005.7700,000000000096117.0000,000000137
2025-10-28,MKLC34      , 4.25999541, 00498.5000,000000000010479.7800,000000009
2025-10-28,BEEF3       ,-1.82318534, 00007.1000,000000096964739.0000,000016373
2025-10-28,BCHI39      ,-0.09402015, 00043.7200,000000000020069.9400,000000014
2025-10-28,HAAA11      , 1.21700230, 00049.4400,000000000002596.9600,000000004
2025-10-28,FLRY3       , 0.54859218, 00014.6600,000000075156141.0000,000008252
2025-10-28,BTHF11      ,-0.86393550, 00008.4300,000000003549584.8900,000014735
2025-10-28,HGBS11      , 1.17865499, 00020.0200,000000001539294.7800,000005066
2025-10-28,HFOF11      ,-3.35475454, 00006.1700,000000000560003.0900,000001410
2025-10-28,CATP34      , 0.54557039, 00175.5100,000000000103701.2800,000000032
2025-10-28,PMLL11      , 0.23099442, 00102.3000,000000001661204.4400,000002752
2025-10-28,KFOF11      ,-0.25872348, 00081.2800,000000000399577.2600,000001036
2025-10-28,XPML11      ,-0.28273564, 00104.8800,000000009044547.6600,000012899
2025-10-28,IMBB11      , 0.16473699, 00139.1200,000000000069560.0000,000000001
2025-10-28,IBIT39      , 0.08337784, 00115.3800,000000001701259.6800,000000107
2025-10-28,IMAB11      , 1.95845307, 00105.9000,000000002380742.8800,000000830
2025-10-28,CXSE3       ,-1.97869997, 00015.0000,000000042447423.0000,000009648
2025-10-28,SMAL11      , 3.30366250, 00107.7600,000000081774428.5700,000004693
2025-10-28,TPIS3       ,-0.70690599, 00003.9700,000000000028884.0000,000000020
2025-10-28,PORD11      , 0.02757066, 00008.0900,000000000411796.4900,000000893
2025-10-28,LAND3       ,-2.36034392, 00007.4000,000000000638010.0000,000000332
2025-10-28,ITRI11      ,-3.42131576, 00079.0600,000000000407335.7200,000000587
2025-10-28,ETHM26      , 0.00000000, 02420.0000,000000003630000.0000,000000001
2025-10-28,SBUB34      , 2.22046608, 00459.6600,000000000095147.2900,000000003
2025-10-28,UTLL11      , 0.12591924, 00103.2000,000000001051114.0800,000000341
2025-10-28,VILG11      ,-4.63334411, 00090.9900,000000001961855.6100,000004473
2025-10-28,SEKX25      , 7.34067287, 09343.0000,000000000053454.0200,000000001
2025-10-28,SHOW3       ,-2.78405959, 00006.2300,000000000212990.0000,000000259
2025-10-28,GLFT11      , 1.62834887, 00100.8900,000000000302841.7800,000000003
2025-10-28,RADL3       , 0.22211474, 00019.4300,000000108169627.0000,000021900
2025-10-28,RAIL3       ,-1.84895304, 00015.8000,000000265645898.0000,000025607
2025-10-28,BLFT11      , 2.73765879, 00100.4300,000000000502150.0000,000000001
2025-10-28,TECN3       ,-1.73496353, 00006.4900,000000000101306.0000,000000051
2025-10-28,NIKE34      , 1.59729313, 00036.0100,000000000699270.1800,000000156
2025-10-28,JSAF11      ,-0.68209734, 00007.2800,000000002357929.0600,000003498
2025-10-28,BRAV3       , 3.72741311, 00014.5500,000000106578977.0000,000018611
2025-10-28,AMBP3       ,-5.16537188, 00000.3900,000000033819633.0000,000010335
2025-10-28,PATA11      , 0.02176149, 00010.2200,000000000000030.4200,000000003
2025-10-28,GGRC11      ,-0.67598371, 00009.9900,000000007411943.6900,000009878
2025-10-28,BIXN39      ,-0.90236658, 00019.9600,000000000017504.6400,000000003
2025-10-28,NBIT11      , 3.70306408, 00048.2800,000000000053099.8400,000000626
2025-10-28,UCAS3       ,-5.11643268, 00001.1900,000000000051198.0000,000000157
2025-10-28,SOLV25      , 0.91247841, 00191.1200,000000289840718.6000,000021764
2025-10-28,HSAF11      , 0.18013131, 00076.6200,000000000472966.1100,000000245
2025-10-28,BSDV39      ,-0.17013726, 00064.2700,000000000004805.8300,000000008
2025-10-28,BSLV39      , 0.25482490, 00076.6400,000000001681063.3400,000000245
2025-10-28,BSHV39      ,-0.25448239, 00059.1800,000000000091630.1800,000000212
