TradeDate,TickerSymbol,InstrType,MktDataStrmId,FinInstrmQty,NtlFinVol,IntlFinVol,RglrTxsQty,FrstPric,MinPric,MaxPric,TradAvrgPric,LastPrice,ReturnLog
2025-11-04,AADA39,ACAO,E,32,1757.92,325.84,2,56.51,53.36,56.51,54.93,53.36,-0.208494040668116
2025-11-12,AADA39,ACAO,E,1,54.34,10.27,1,54.34,54.34,54.34,54.34,54.34,0.0181992023908335
2025-11-13,AADA39,ACAO,E,2,107.85,20.36,2,54.34,53.51,54.34,53.92,53.51,-0.0153920516749886
2025-10-28,AAGR11,ACAO,E,115,10802.29,2017.12,18,94,92.5,94,93.93,94,0
2025-10-29,AAGR11,ACAO,E,202,18872.69,3521.48,20,92.62,92,94,93.42,92.8,-0.012848142477849
2025-10-30,AAGR11,ACAO,E,179,16807.82,3127.38,18,92.8,92.8,94,93.89,94,0.012848142477849
2025-10-31,AAGR11,ACAO,E,200,18795.09,3493.05,13,93.99,93.99,94,93.97,94,0
2025-11-03,AAGR11,ACAO,E,433,40459.12,7555.1,22,94,92.81,94,93.43,93.7,-0.00319659302562769
2025-11-04,AAGR11,ACAO,E,143,13394.23,2482.75,20,93.7,92.51,93.99,93.66,93.99,0.00309020438783403
2025-11-05,AAGR11,ACAO,E,24,2253.1,420.43,13,93.99,92.6,94,93.87,92.62,-0.0146832925796039
2025-11-06,AAGR11,ACAO,E,126,11821.89,2211.35,23,92.7,92.7,94,93.82,92.76,0.00151041133472507
2025-11-07,AAGR11,ACAO,E,214,20111.2,3767.83,10,92.76,92.76,94,93.97,94,0.0132792698826725
2025-11-10,AAGR11,ACAO,E,134,12589.02,2373.27,31,94,92.78,94,93.94,94,0
2025-11-11,AAGR11,ACAO,E,161,15317.5,2905.77,19,92.5,92.5,106.43,95.13,95.5,0.0158314652166807
2025-11-12,AAGR11,ACAO,E,342,32315.95,6108.06,23,101.98,93.3,101.98,94.49,100.98,0.0557962299440851
2025-11-13,AAGR11,ACAO,E,189,17700.09,3342.22,26,100.98,92.63,100.98,93.65,92.63,-0.0863094141648331
2025-11-14,AAGR11,ACAO,E,40,3728.9,704.37,17,96,92.62,96,93.22,92.7,0.00075540930587259
2025-11-17,AAGR11,ACAO,E,121,11657.61,2193.38,33,93.63,92.7,96.98,96.34,96.5,0.0401745357731311
2025-11-18,AAGR11,ACAO,E,92,8773.06,1650.68,17,96.51,93,96.51,95.35,96.45,-0.000518268993202398
2025-11-19,AAGR11,ACAO,E,55,5284,990.97,16,96.48,95.92,96.48,96.07,95.92,-0.0055102286324793
2025-11-21,AAGR11,ACAO,E,20,1928.96,356.83,14,95.92,95.92,97.3,96.44,97.3,0.0142844784727005
2025-11-24,AAGR11,ACAO,E,104,10372.83,1923.31,21,98.28,97.3,99.95,99.73,97.3,0
2025-11-25,AAGR11,ACAO,E,75,7276.25,1353.49,12,98.28,96.81,99.95,97.01,99.95,0.0268710717544503
2025-11-26,AAGR11,ACAO,E,104,10214.5,1913.54,21,99.95,93.62,99.95,98.21,98,-0.019702582275837
2025-11-27,AAGR11,ACAO,E,67,6529,1220,16,98,94,98,97.44,94,-0.0416726964005685
2025-11-28,AAGR11,ACAO,E,164,15580,2923.18,17,95,95,95,95,95,0.0105821093305369
2025-12-01,AAGR11,ACAO,E,106,10170.07,1899.17,31,95,94,98.9,95.94,94,-0.0105821093305369
2025-12-02,AAGR11,ACAO,E,289,27677.21,5190.19,32,94.94,94,98,95.76,97.99,0.0415706503777233
2025-12-03,AAGR11,ACAO,E,93,8858.32,1670.02,17,94.01,94.01,97.95,95.25,97.9,-0.000918883111262758
2025-12-04,AAGR11,ACAO,E,322,31555.3,5942.84,18,97.99,97.9,98,97.99,98,0.0010209291341079
2025-12-05,AAGR11,ACAO,E,347,33966.6,6239.84,15,98,94.06,98,97.88,98,0
2025-10-28,AALL34,ACAO,E,6340,438885.75,81953.53,112,71.85,67.87,71.92,69.22,67.98,-0.058563069032112
2025-10-29,AALL34,ACAO,E,5220,358412.13,66876.66,32,68.66,68,69.43,68.66,69.21,0.0179318165858016
2025-10-30,AALL34,ACAO,E,2715,189621.17,35282.29,19,69.28,68.54,70.9,69.84,68.9,-0.00448918283415889
2025-10-31,AALL34,ACAO,E,1061,74262.76,13801.69,13,68.49,68.49,70.61,69.99,70.61,0.0245155995086428
2025-11-03,AALL34,ACAO,E,2038,146044.71,27271.56,27,70.12,69.99,72.11,71.66,71.22,0.0086019003213762
2025-11-04,AALL34,ACAO,E,3198,222963.56,41328.58,24,70.27,67.66,70.72,69.71,67.89,-0.0478849295360764
2025-11-05,AALL34,ACAO,E,16225,1164926.35,217377.56,42,70.48,70.42,72.39,71.79,72.38,0.0640412698220407
2025-11-06,AALL34,ACAO,E,1418,100881.14,18870.39,11,71.06,70.15,71.6,71.14,71.23,-0.0160159401453335
2025-11-07,AALL34,ACAO,E,2029,144951.84,27156.74,23,71.95,68.71,72.74,71.44,72.49,0.0175345433225234
2025-11-10,AALL34,ACAO,E,348,24859.67,4686.52,18,72.49,69.95,74.1,71.43,69.95,-0.0356679202012957
2025-11-11,AALL34,ACAO,E,11692,810123.57,153682.81,67,69,68.39,70.47,69.28,68.39,-0.0225540860014855
2025-11-12,AALL34,ACAO,E,4522,319277.66,60346.95,28,69.44,69.44,71.65,70.6,71.6,0.045868458856595
2025-11-13,AALL34,ACAO,E,8,555.66,104.92,6,70.46,69,70.46,69.45,69.15,-0.0348170158558325
2025-11-14,AALL34,ACAO,E,2097,142463.52,26910.88,45,69,67.36,69,67.93,67.68,-0.0214873428127991
2025-11-17,AALL34,ACAO,E,1019,68248.92,12841.05,31,67.68,65.6,67.68,66.97,65.8,-0.0281708769666968
2025-11-18,AALL34,ACAO,E,3081,201338.02,37882.52,24,65.57,64.85,65.97,65.34,65.96,0.0024286593601266
2025-11-19,AALL34,ACAO,E,501,32996.96,6188.36,13,66.6,65.03,66.6,65.86,65.03,-0.0141997958103373
2025-11-21,AALL34,ACAO,E,3868,265319.7,49081.46,29,67.49,67.49,70.41,68.59,70.22,0.0767844688592252
2025-11-24,AALL34,ACAO,E,260,18367.73,3405.72,12,69.38,69.38,70.99,70.64,70.99,0.0109058513110085
2025-11-25,AALL34,ACAO,E,1863,136696.47,25427.64,26,70.78,70.78,74.19,73.37,72.74,0.0243524175075489
2025-11-26,AALL34,ACAO,E,1239,91804.98,17198.38,32,72.64,72.64,75.06,74.09,74.97,0.0301965939561271
2025-11-27,AALL34,ACAO,E,893,67199.83,12556.96,15,75.35,74.94,76,75.25,74.94,-0.000400240149429187
2025-11-28,AALL34,ACAO,E,247,18427.3,3457.4,10,74.94,74.2,75.24,74.6,74.59,-0.00468134339846937
2025-12-01,AALL34,ACAO,E,1039,77904.01,14547.9,8,75.34,73.45,75.34,74.97,75.21,0.0082777508712395
2025-12-02,AALL34,ACAO,E,2416,181102.51,33961.39,19,75.21,74.81,76.16,74.95,76.16,0.0125521896447989
2025-12-03,AALL34,ACAO,E,83,6384.76,1203.69,23,76.93,76.06,77.67,76.92,77.64,0.0192463678176997
2025-12-04,AALL34,ACAO,E,603,45622.45,8592.12,11,77.73,75.61,77.73,75.65,75.73,-0.0249083751750785
2025-12-05,AALL34,ACAO,E,5163,402139.93,73875.25,50,76,76,81.08,77.88,81.08,0.0682619384580674
2025-10-28,AALR3,ACAO,E,11200,63400,11838.73,34,5.64,5.58,5.7,5.66,5.58,-0.0124667687651301
2025-10-29,AALR3,ACAO,E,42900,242183,45189.29,58,5.58,5.57,5.66,5.64,5.66,0.0142351158218719
2025-10-30,AALR3,ACAO,E,50900,294853,54862.49,67,5.53,5.52,5.86,5.79,5.8,0.0244340253372821
2025-10-31,AALR3,ACAO,E,25200,150807,28027.39,95,5.8,5.79,6.19,5.98,6.19,0.0650771691441312
2025-11-03,AALR3,ACAO,E,36000,211496,39493.57,142,6.19,5.78,6.19,5.87,5.78,-0.0685314040122187
2025-11-04,AALR3,ACAO,E,8800,50529,9366.06,29,5.78,5.7,5.86,5.74,5.73,-0.00868815195763784
2025-11-05,AALR3,ACAO,E,28200,159681,29796.79,114,5.65,5.57,5.82,5.66,5.68,-0.00876429799358847
2025-11-06,AALR3,ACAO,E,34200,191971,35909.27,83,5.67,5.53,5.75,5.61,5.6,-0.0141846349919563
2025-11-07,AALR3,ACAO,E,24000,131516,24639.53,74,5.59,5.37,5.6,5.47,5.37,-0.0419386892203302
2025-11-10,AALR3,ACAO,E,96100,490552,92478.46,300,5.39,4.93,5.42,5.1,4.93,-0.0854889204661746
2025-11-11,AALR3,ACAO,E,67700,337674,64057.74,155,5.07,4.9,5.15,4.98,4.92,-0.002030457550382
2025-11-12,AALR3,ACAO,E,118800,588949,111317.78,230,5.02,4.89,5.15,4.95,5.06,0.0280579527951574
2025-11-13,AALR3,ACAO,E,8800,44398,8383.46,39,5.08,4.95,5.15,5.04,5.13,0.0137391758833041
2025-11-14,AALR3,ACAO,E,15800,80671,15238.48,54,5.14,5,5.25,5.1,5,-0.025667746748578
