TradeDate,TickerSymbol,ReturnLog,LastPrice,NtlFinVol,RglrTxsQty
2025-11-04,AADA39,-0.2084940406681164,53.36,1757.92,2
2025-11-12,AADA39,0.018199202390833502,54.34,54.34,1
2025-11-13,AADA39,-0.015392051674988583,53.51,107.85,2
2025-10-28,AAGR11,0,94,10802.29,18
2025-10-29,AAGR11,-0.012848142477849045,92.8,18872.69,20
2025-10-30,AAGR11,0.012848142477849045,94,16807.82,18
2025-10-31,AAGR11,0,94,18795.09,13
2025-11-03,AAGR11,-0.003196593025627692,93.7,40459.12,22
2025-11-04,AAGR11,0.003090204387834028,93.99,13394.23,20
2025-11-05,AAGR11,-0.01468329257960388,92.62,2253.1,13
2025-11-06,AAGR11,0.0015104113347250703,92.76,11821.89,23
2025-11-07,AAGR11,0.013279269882672473,94,20111.2,10
2025-11-10,AAGR11,0,94,12589.02,31
2025-11-11,AAGR11,0.015831465216680662,95.5,15317.5,19
2025-11-12,AAGR11,0.05579622994408506,100.98,32315.95,23
2025-11-13,AAGR11,-0.08630941416483306,92.63,17700.09,26
2025-11-14,AAGR11,7.554093058725897e-4,92.7,3728.9,17
2025-11-17,AAGR11,0.040174535773131126,96.5,11657.61,33
2025-11-18,AAGR11,-5.182689932023976e-4,96.45,8773.06,17
2025-11-19,AAGR11,-0.005510228632479297,95.92,5284,16
2025-11-21,AAGR11,0.014284478472700535,97.3,1928.96,14
2025-11-24,AAGR11,0,97.3,10372.83,21
2025-11-25,AAGR11,0.02687107175445025,99.95,7276.25,12
2025-11-26,AAGR11,-0.01970258227583699,98,10214.5,21
2025-11-27,AAGR11,-0.041672696400568476,94,6529,16
2025-11-28,AAGR11,0.010582109330536937,95,15580,17
2025-12-01,AAGR11,-0.010582109330536937,94,10170.07,31
2025-12-02,AAGR11,0.04157065037772334,97.99,27677.21,32
2025-12-03,AAGR11,-9.188831112627582e-4,97.9,8858.32,17
2025-12-04,AAGR11,0.0010209291341078952,98,31555.3,18
2025-12-05,AAGR11,0,98,33966.6,15
2025-10-28,AALL34,-0.05856306903211195,67.98,438885.75,112
2025-10-29,AALL34,0.017931816585801563,69.21,358412.13,32
2025-10-30,AALL34,-0.004489182834158889,68.9,189621.17,19
2025-10-31,AALL34,0.024515599508642794,70.61,74262.76,13
2025-11-03,AALL34,0.008601900321376199,71.22,146044.71,27
2025-11-04,AALL34,-0.04788492953607637,67.89,222963.56,24
2025-11-05,AALL34,0.06404126982204073,72.38,1164926.35,42
2025-11-06,AALL34,-0.016015940145333474,71.23,100881.14,11
2025-11-07,AALL34,0.017534543322523355,72.49,144951.84,23
2025-11-10,AALL34,-0.03566792020129572,69.95,24859.67,18
2025-11-11,AALL34,-0.02255408600148545,68.39,810123.57,67
2025-11-12,AALL34,0.04586845885659496,71.6,319277.66,28
2025-11-13,AALL34,-0.03481701585583252,69.15,555.66,6
2025-11-14,AALL34,-0.02148734281279907,67.68,142463.52,45
2025-11-17,AALL34,-0.028170876966696845,65.8,68248.92,31
2025-11-18,AALL34,0.002428659360126595,65.96,201338.02,24
2025-11-19,AALL34,-0.014199795810337257,65.03,32996.96,13
2025-11-21,AALL34,0.07678446885922519,70.22,265319.7,29
2025-11-24,AALL34,0.010905851311008519,70.99,18367.73,12
2025-11-25,AALL34,0.024352417507548907,72.74,136696.47,26
2025-11-26,AALL34,0.03019659395612706,74.97,91804.98,32
2025-11-27,AALL34,-4.002401494291874e-4,74.94,67199.83,15
2025-11-28,AALL34,-0.004681343398469373,74.59,18427.3,10
2025-12-01,AALL34,0.008277750871239498,75.21,77904.01,8
2025-12-02,AALL34,0.012552189644798872,76.16,181102.51,19
2025-12-03,AALL34,0.019246367817699728,77.64,6384.76,23
2025-12-04,AALL34,-0.02490837517507849,75.73,45622.45,11
2025-12-05,AALL34,0.06826193845806738,81.08,402139.93,50
2025-10-28,AALR3,-0.012466768765130087,5.58,63400,34
2025-10-29,AALR3,0.014235115821871869,5.66,242183,58
2025-10-30,AALR3,0.024434025337282117,5.8,294853,67
2025-10-31,AALR3,0.0650771691441312,6.19,150807,95
2025-11-03,AALR3,-0.06853140401221869,5.78,211496,142
2025-11-04,AALR3,-0.008688151957637835,5.73,50529,29
2025-11-05,AALR3,-0.008764297993588466,5.68,159681,114
2025-11-06,AALR3,-0.014184634991956324,5.6,191971,83
2025-11-07,AALR3,-0.04193868922033017,5.37,131516,74
2025-11-10,AALR3,-0.08548892046617462,4.93,490552,300
2025-11-11,AALR3,-0.0020304575503820033,4.92,337674,155
2025-11-12,AALR3,0.028057952795157437,5.06,588949,230
2025-11-13,AALR3,0.013739175883304089,5.13,44398,39
2025-11-14,AALR3,-0.02566774674857797,5,80671,54
2025-11-17,AALR3,-0.008032171697264223,4.96,136897,84
2025-11-18,AALR3,0.008032171697264223,5,98608,83
2025-11-19,AALR3,0.0019980026626731373,5.01,750035,19
2025-11-21,AALR3,-0.020161973290344193,4.91,46626,44
2025-11-24,AALR3,0.008113634774169709,4.95,86594,43
2025-11-25,AALR3,-0.01629363948610041,4.87,170994,133
2025-11-26,AALR3,-0.010320009031989485,4.82,206610,49
2025-11-27,AALR3,0.0020725396019722897,4.83,194090,13
2025-11-28,AALR3,0.028573372444056,4.97,11252,16
2025-12-01,AALR3,0.004016069654890098,4.99,132347,87
2025-12-02,AALR3,-0.0120969217088287,4.93,75088,46
2025-12-03,AALR3,0,4.93,17689,13
2025-12-04,AALR3,-0.02672307014075348,4.8,591154,219
2025-12-05,AALR3,-0.06899287148695143,4.48,195341,118
2025-10-28,AAPL34,-8.337966019471565e-4,71.93,11976606.66,1253
2025-10-29,AAPL34,0.0067890804582306785,72.42,11306978.81,1131
2025-10-30,AAPL34,0.0052334508651448175,72.8,17720465.16,1426
2025-10-31,AAPL34,8.238363777772761e-4,72.86,25227485.07,1917
2025-11-03,AAPL34,-0.015351936940686706,71.75,19939172.53,2160
2025-11-04,AAPL34,0.019597646256207746,73.17,15969776.29,1379
2025-11-05,AAPL34,-0.013483968744869124,72.19,25890636.9,1576
2025-11-06,AAPL34,-0.004720919626035602,71.85,20792778.67,1652
2025-11-07,AAPL34,8.347245893691735e-4,71.91,17213842.41,3323
2025-11-10,AAPL34,-0.012594624920400754,71.01,16716170.37,1559
2025-11-11,AAPL34,0.025307246035821684,72.83,25631769.17,1667
2025-11-12,AAPL34,-0.00938067300994394,72.15,19141487.92,2092
2025-11-13,AAPL34,1.3859053448861403e-4,72.16,13859114.27,1781
2025-11-14,AAPL34,0.005527930052513064,72.56,18808689.45,1388
2025-11-17,AAPL34,-0.022861324600873978,70.92,29343902.96,2197
2025-11-18,AAPL34,0.004361596784255184,71.23,16489418.65,1228
2025-11-19,AAPL34,5.614035235161907e-4,71.27,20272033.76,5608
2025-11-21,AAPL34,0.02631001938215949,73.17,55270874.26,2449
2025-11-24,AAPL34,0.019489045587484988,74.61,19860967.76,2233
2025-11-25,AAPL34,0.007211569715559918,75.15,53794130.41,5210
2025-11-26,AAPL34,-0.019211983397361188,73.72,13494868.64,2428
2025-11-27,AAPL34,0.004601442683844326,74.06,1926031.87,1023
2025-11-28,AAPL34,-0.01058785511959126,73.28,16758266.49,1107
2025-12-01,AAPL34,0.030506968352873365,75.55,21597089.02,1524
2025-12-02,AAPL34,0.012757455853303235,76.52,16073084.36,3235
2025-12-03,AAPL34,-0.010113700182572849,75.75,12923212.6,1283
2025-12-04,AAPL34,-0.0194620912257637,74.29,11635976.84,1165
