TradeDate,NTickersWindow,VolumeTotalJanela,NumNegociosTotalJanela,HHI
2025-10-28,00011,00000001520108253.5700,000010943,017351019
2025-10-29,01063,00001531048659911.7700,015477313,020833558
2025-10-30,01100,00002222525873977.0500,022718056,024386023
2025-10-31,01095,00002481005646296.6400,026069932,033468831
2025-11-03,01165,00003151021517231.3800,036765313,036198559
2025-11-04,01119,00003302607267258.8900,039169087,049087856
2025-11-05,01109,00004666475032501.8000,052838435,040083147
2025-11-06,01141,00005294425177958.7500,059557917,043022676
2025-11-07,01134,00004962144564198.8500,055943654,049127703
2025-11-10,01179,00005600787562936.3100,061252416,040636666
2025-11-11,01159,00005362574552526.7700,059092554,048189535
2025-11-12,01147,00005430464890679.1500,059506499,049077627
2025-11-13,01177,00005582383911723.0400,061519977,049578251
2025-11-14,01182,00005497652291243.6300,060967026,050664473
2025-11-17,01175,00005572748142589.2200,061643125,050356285
2025-11-18,01139,00005674030631731.4000,061729191,050306831
2025-11-19,01136,00005318529974983.4400,062183157,057175000
2025-11-21,01152,00005654670842919.4600,061693958,049152354
2025-11-24,01177,00005714423490353.9800,061669306,047424758
2025-11-25,01164,00005805258307871.1400,060780037,045720942
2025-11-26,01182,00005854306556078.2400,060518766,044212117
2025-11-27,01072,00005227521247642.1900,057246531,048702410
2025-11-28,01184,00005094885269297.0300,056388493,046433125
2025-12-01,01204,00004136600394419.2400,052196230,065047343
2025-12-02,01186,00004358667629743.7300,052879410,060360695
2025-12-03,01163,00004632038684492.6900,053878187,056597638
2025-12-04,01156,00004602974372478.1000,055322018,059942714
2025-12-05,01191,00005523663999062.6700,061538425,049037465
2025-12-08,00011,00000003867934662.9200,000039194,018351584
