TradeDate,NTickersWindow,VolumeTotalJanela,NumNegociosTotalJanela,HHI
2025-11-05,1031,4516147384184.62,53249982,0.549426763383919
2025-11-06,1090,4786407879071.47,54843359,0.517640763824447
2025-11-07,1113,4976033812549.28,55870855,0.488558387567372
2025-11-10,1145,5168338801184.43,57068698,0.470120731873816
2025-11-11,1149,5364039586160.49,59398658,0.481642384246829
2025-11-12,1169,5427084684558.8,59944343,0.491389569695808
2025-11-13,1171,5580334933475.58,61637911,0.496157290087892
2025-11-14,1200,5563712800144.54,61424886,0.494796786927632
2025-11-17,1198,5591955854678.34,61832709,0.500138724884136
2025-11-18,1183,5676452433375.79,62152313,0.502652635161289
2025-11-19,1197,5715116496709.94,62889807,0.499104361608594
2025-11-21,1202,5649675478210.15,62138139,0.492177694774558
2025-11-24,1204,5730471218868.44,62025725,0.471539268358655
2025-11-25,1211,5805990777405.76,61471679,0.457015459363723
2025-11-26,1228,5850546671901.46,61014623,0.442201926531811
2025-11-27,1141,5236623141787.92,57741916,0.484984726707854
2025-11-28,1220,5112441870854.28,56713637,0.460979414816338
2025-12-01,1231,4132956104681.64,52025395,0.651622071940259
2025-12-02,1220,4366459900271.64,53210969,0.601460600774713
2025-12-03,1213,4638939159221.97,54611884,0.56429696957205
2025-12-04,1213,4907532330623.29,55573353,0.531092659468615
2025-12-05,1227,5569871793213.02,61707625,0.483689542577565
2025-10-31,17,9556932206.62,73884,0.0910420099769431
2025-11-03,22,8102467450.15,70553,0.0972277631759328
2025-11-04,25,7997721014.75,70199,0.0876456724827854
2025-12-08,11,3841750992.92,39557,0.174119409565237
