TradeDate,TickerSymbol,NObsJanela,RetJanela,VolDiariaJanela,VolAnualJanela,VolumeJanela,NumNegociosJanela,IndiceLiquidez
2025-10-28,BGIZ25      ,02, 2.04138219, 0.78310640, 2.43142254,00000000186862611.0000,000001156,00000000000161645.8572
2025-10-28,CCMH26      ,02, 3.18096863, 3.13400049, 9.75069077,00000000017967897.0000,000000327,00000000000054947.6972
2025-10-28,ICFH26      ,02, 0.93141908, 1.73772899, 7.58557885,00000000051970062.2600,000000079,00000000000657848.8893
2025-10-28,CCMF26      ,02, 7.51274523, 1.51987939, 4.12732537,00000000086181957.0000,000001723,00000000000050018.5473
2025-10-28,CCMU26      ,02, 3.22141760, 1.87514300, 9.76695755,00000000015850561.5000,000000096,00000000000165110.0156
2025-10-28,ICFZ25      ,02, 1.22674956, 0.55807981, 8.85923794,00000000180344218.8100,000000481,00000000000374936.0058
2025-10-28,BGIX25      ,02, 5.07535552, 1.27145927, 0.18378018,00000000457942617.0000,000002505,00000000000182811.4239
2025-10-28,BGIF26      ,02, 4.01207905, 1.13399703, 8.00163585,00000000068011416.0000,000000488,00000000000139367.6557
2025-10-28,BGIV25      ,02,-0.37095282, 0.33114714, 5.25679527,00000000303589324.5000,000001488,00000000000204025.0836
2025-10-28,CCMX25      ,02, 4.14701940, 1.16563768, 8.50391535,00000000124828842.0000,000002392,00000000000052185.9707
2025-10-28,BGIG26      ,02, 3.43067830, 2.25575837, 5.80903624,00000000026558746.5000,000000208,00000000000127686.2812
2025-10-29,BGIF26      ,03, 4.00378842, 0.92756146, 4.72457439,00000000069434343.0000,000000497,00000000000139706.9275
2025-10-29,BGIG26      ,03, 3.36462974, 1.84342756, 9.26349080,00000000029304957.0000,000000218,00000000000134426.4082
2025-10-29,BGIH26      ,02,-0.10836524, 0.07302896, 1.15929822,00000000012769872.0000,000001647,00000000000007753.4134
2025-10-29,BGIV25      ,03,-0.37065352, 0.26983191, 4.28344665,00000000309413544.0000,000001513,00000000000204503.3337
2025-10-29,BGIX25      ,03, 5.07349766, 1.03911595, 6.49544614,00000000475507774.5000,000002568,00000000000185166.5788
2025-10-29,CCMF26      ,03, 7.50435478, 1.24012599, 9.68638002,00000000086597014.5000,000001732,00000000000049998.2762
2025-10-29,CCMX25      ,03, 4.14397115, 0.95046321, 5.08812822,00000000127622982.0000,000002425,00000000000052628.0338
2025-10-29,ETHM26      ,02, 7.17580489, 1.47701931, 3.44694303,00000000007282500.0000,000000003,00000000002427500.0000
2025-10-29,ETHX25      ,02, 3.82539646, 1.11096104, 7.63595102,00000000008752729.8900,000000130,00000000000067328.6914
2025-10-29,ICFZ25      ,03, 1.24142413, 0.45540518, 7.22932952,00000000183129162.2400,000000489,00000000000374497.2642
2025-10-29,XRXB34      ,02,-0.13403818, 0.08145581, 1.29307025,00000000000058967.7200,000000086,00000000000000685.6711
2025-10-29,HGBL11      ,02, 0.66848880, 0.33027073, 5.24288270,00000000000012932.9200,000000092,00000000000000140.5752
2025-10-29,AFHF11      ,02,-0.87360144, 1.46392618, 3.23909614,00000000000302388.0900,000002879,00000000000000105.0323
